	four	second	reports	music	until	example	want	travel	feature	series	re	wasn	service	needed	project	saying	than	best	country	asked	much	life	worked	things	had	easy	possible	right	old	people	support	happy	inside	time	minute	team	along	love	working	such	data	years	didn	internet	million	quite	open	city	future	san	turned	say	note	take	ways	link	going	where	many	wants	photos	single	being	around	world	power	favorite	her	complete	gone	ad	am	gifts	having	tv	large	small	hours	experience	social	via	company	learn	sense	its	always	found	really	research	major	obama	sell	self	also	play	plan	sometimes	microsoft	set	see	movie	available	last	whole	recent	readers	couple	d	continue	anything	into	line	posted	up	us	ago	try	video	let	great	involved	makes	next	process	high	perfect	could	david	scene	start	haven	fact	bring	should	hope	move	means	stuff	email	co	ve	off	less	web	five	become	does	software	doing	problem	worth	above	told	word	work	interview	after	then	them	they	network	created	another	do	away	terms	com	thanks	night	security	post	months	way	update	together	global	guy	change	usually	extra	live	car	december	heard	write	use	still	now	year	happen	space	looking	shows	card	care	couldn	yourself	online	only	between	article	comes	these	media	food	thinking	real	read	early	using	business	aren	lot	trying	building	month	very	learned	family	ask	takes	taken	site	history	tried	help	soon	actually	systems	event	since	reason	put	american	behind	clear	latest	pretty	during	x	close	won	probably	both	whatever	else	lives	look	while	used	user	game	run	seeing	within	e	go	facebook	click	following	announced	started	control	links	including	him	keep	exactly	need	able	based	course	she	tuesday	well	lost	page	twitter	home	he	stories	star	friends	amp	companies	force	likely	even	tips	ever	never	call	tell	wars	give	amazing	answer	before	personal	better	weeks	went	side	content	isn	matter	mind	seen	don	m	stop	bad	decided	said	against	appeared	three	website	make	left	human	yes	yet	save	deal	popular	super	down	form	finally	did	visit	making	may	grow	man	maybe	talk	nbsp	group	interesting	morning	thing	think	long	little	anyone	were	paid	especially	show	black	get	enough	reading	across	according	doesn	those	different	same	running	money	either	videos	general	film	again	important	u	starting	public	search	two	hour	share	needs	through	late	good	everyone	house	hard	done	least	part	believe	b	build	most	find	please	point	simple	create	understand	fun	itself	spent	spend	source	big	bit	google	often	back	forward	entire	giving	others	later	ll	age	day	red	national	taking	holiday	value	almost	thought	add	works	although	buy	minutes	original	under	every	school	voice	would	phone	must	me	times	end	over	writing	each	driving	got	free	wanted	days	already	top	too	took	past	though	watch	amazon	report	full	however	news	been	several	gave	gift	specific	everything	christmas	why	head	no	longer	level	says	goes	water	today	local	information	name	turn	place	coming	given	white	r	any	ideas	sure	state	outside	come	case	myself	someone	check	week	without	seems	blog	there	idea	program	woman	far	list	design	version	known	rather	short	might	number	feel	story	store	kind	nothing	his	hit	wrote	art	recently	due	holidays	questions	question	fast	called	users	helping	once	issues	include	apple	app	few	something	six	instead	our	york	their	which	who	ones	view	job	gets	half	other	smart	know	because	lead	getting	own	made	book
Signal v. Noise — Medium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	1	0	0	0	1	0	1	1	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	10	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	3	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	2	2	0	2	0	0	1	0	0	0
The Viral Garden	5	3	0	6	0	4	34	4	0	9	4	8	5	2	4	4	9	8	0	1	8	2	5	6	36	2	1	7	1	73	2	1	0	25	1	5	4	4	1	8	0	6	14	0	0	1	2	0	1	3	1	7	0	7	6	20	11	15	23	3	0	3	18	7	4	5	2	5	2	0	11	26	0	3	1	3	5	4	1	134	9	13	8	3	12	6	12	9	1	0	0	2	4	10	2	0	8	0	0	24	0	0	14	1	5	8	6	6	1	1	10	2	0	24	16	5	4	0	10	13	0	3	10	1	1	2	8	0	1	7	3	3	2	17	2	2	7	3	3	2	20	6	5	1	0	11	5	0	14	5	1	1	3	1	17	0	8	22	50	90	6	7	8	39	3	1	22	2	3	0	41	5	28	2	4	0	0	3	5	1	3	0	1	1	9	20	14	22	18	3	6	10	2	0	1	5	4	8	16	2	2	2	26	122	0	4	2	9	2	31	13	11	14	7	4	1	25	5	0	3	1	0	11	1	1	11	3	10	0	28	3	10	4	0	1	0	1	3	8	0	5	11	11	6	2	8	0	1	8	1	4	1	0	4	2	0	15	10	3	23	0	14	0	8	1	3	3	0	8	2	0	3	1	0	14	0	8	71	1	17	3	0	11	3	29	1	7	18	2	3	10	1	11	0	10	5	2	9	6	10	5	7	1	15	7	2	0	4	14	16	2	3	6	13	0	0	3	3	20	9	1	1	1	1	1	7	1	2	0	1	11	0	4	12	2	1	4	2	0	5	4	0	13	30	8	3	0	33	1	1	5	1	24	5	8	0	2	3	10	4	16	0	3	2	0	2	0	3	5	0	0	0	3	8	4	8	6	4	1	16	9	0	1	3	6	7	1	2	6	24	9	3	6	2	11	13	2	7	0	2	0	13	8	0	9	19	2	1	4	11	4	17	7	21	2	0	4	0	11	3	11	10	1	2	2	1	1	1	13	1	2	30	0	3	56	1	5	14	5	3	3	9	6	13	8	2	4	6	8	1	5	0	0	0	3	1	1	10	10	0	0	1	0	1	24	1	19	2	5	0	3	0	4	0	6	10	2	3	12	2	0	0	8	6	11	1	1	7	8	3	14	7	7	2	3	46	41	15	0	0	1	12	0	0	1	1	1	7	5	2	2	1	0	2	8	2	6	0	6	2	1	6	0	0	4	10	3	3	2	3	1	0	22	10	0	5	6	2	72	21	15	4	5	1	1	2	17	5	18	40	2	7	25	7	0
SpikedHumor - Today's Videos and Pictures	0	6	1	2	1	0	1	0	1	0	2	0	0	0	2	1	1	6	0	0	0	2	0	1	5	0	0	0	2	3	1	1	0	4	0	1	0	1	0	1	0	2	0	0	1	1	0	2	2	0	0	1	0	1	0	0	0	0	2	0	2	1	1	4	1	0	0	0	0	0	1	2	0	1	2	0	0	0	0	0	0	0	0	0	7	0	2	1	0	2	3	0	0	3	3	0	0	0	4	4	1	0	4	1	0	0	1	1	0	0	2	0	5	13	2	2	0	15	2	1	0	1	0	0	0	1	1	0	1	0	0	1	0	1	1	1	1	0	0	0	2	3	0	0	0	0	2	0	0	3	0	0	0	1	2	0	3	2	3	0	1	0	3	2	1	0	6	0	1	2	3	0	2	0	1	0	2	1	0	0	2	4	3	1	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	2	1	0	1	0	1	0	4	0	1	4	0	0	0	0	0	0	0	0	2	0	4	0	1	1	0	0	0	1	0	0	1	2	3	3	0	0	0	0	0	1	0	0	2	0	0	1	0	5	3	0	0	1	0	0	0	0	2	0	0	1	0	1	0	0	0	1	2	0	1	1	0	0	3	0	0	0	1	0	0	7	1	0	0	0	0	0	0	5	0	3	1	1	1	0	0	1	0	2	1	0	0	2	2	0	0	0	0	0	3	1	0	0	0	3	0	0	0	3	2	2	2	0	0	0	3	0	1	3	0	0	2	0	3	1	0	4	2	2	0	1	2	1	0	2	2	1	0	0	0	0	5	2	4	0	0	1	1	1	2	0	0	1	1	0	4	0	1	1	0	3	0	1	1	0	1	1	0	0	0	2	2	2	0	1	0	7	0	0	0	2	0	2	0	0	0	1	0	0	0	0	0	1	1	1	0	2	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	1	3	0	4	2	2	2	5	1	3	0	0	0	3	1	1	0	5	0	2	2	0	0	0	102	0	1	2	0	2	3	1	0	0	0	1	13	4	2	1	0	0	1	0	2	0	1	0	0	0	0	1	0	1	1	2	2	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	1	1	1	0	0	1	0	0	2	0	3	0	1	0	0	9	0	0	0	0	0	1	1	0	0	1	0	0	2	0	0	5	3	1	2	0	0	1	0	3	0	3	0	1	0	2	1	2	0	4	3	0	0	0	0	0
Neil Gaiman's Journal	4	3	0	4	5	2	18	0	0	4	14	12	3	5	6	12	13	9	0	5	31	16	4	49	71	3	4	16	10	74	9	12	4	41	2	3	5	14	2	9	0	20	13	5	5	4	2	1	0	2	3	13	5	10	6	13	36	24	13	1	7	2	17	17	27	3	0	37	3	3	0	21	2	12	4	1	9	7	1	1	1	0	5	2	16	9	12	30	1	1	0	0	1	27	1	2	5	0	7	21	1	6	30	6	3	2	6	30	1	4	25	0	28	39	53	17	3	6	10	12	8	6	17	2	5	7	30	1	0	5	3	1	4	16	8	1	5	13	5	8	22	11	2	1	3	6	4	0	15	7	2	3	16	6	17	16	19	25	42	86	0	2	10	35	14	2	34	0	14	0	10	6	11	1	9	5	1	5	6	2	4	1	0	2	13	9	17	29	34	6	1	8	7	2	2	3	6	7	30	15	7	7	12	4	3	3	8	27	2	6	4	1	4	12	0	7	26	5	17	8	4	5	4	4	2	14	2	14	0	7	9	2	20	5	3	2	0	4	3	3	2	10	9	10	8	4	6	13	16	3	0	1	13	4	2	5	22	5	5	3	1	4	1	4	6	29	2	0	16	4	1	4	50	3	13	0	5	6	5	65	22	4	10	4	0	0	0	17	0	11	17	5	6	0	6	5	1	20	3	5	13	22	6	2	6	4	2	9	10	45	1	4	1	24	2	0	13	2	25	8	7	3	6	6	4	1	0	5	2	2	19	5	10	9	2	4	2	11	292	0	2	9	19	17	20	11	9	59	6	8	9	10	32	9	5	3	0	8	4	8	8	4	17	3	1	0	8	9	5	0	2	9	0	23	3	4	4	9	6	33	4	3	7	9	0	18	2	6	1	14	11	6	1	2	0	2	3	3	7	2	0	5	8	2	3	29	2	4	5	2	4	23	4	21	3	2	3	2	0	8	8	1	1	4	6	1	1	2	8	4	2	48	11	2	93	3	14	28	21	9	0	18	9	14	21	11	5	22	6	2	3	6	9	2	8	0	8	40	1	11	3	2	12	1	16	2	13	4	4	3	8	2	3	7	4	6	2	11	8	4	5	2	10	4	3	0	1	16	6	5	7	1	19	9	7	14	58	16	3	5	1	7	1	7	5	2	12	7	1	6	25	0	6	5	39	1	22	72	1	5	1	7	1	3	17	0	4	6	10	2	0	2	17	16	2	6	30	5	36	37	55	2	1	1	3	6	22	2	15	36	0	9	6	18	51
456 Berea Street	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	6	1	0	0	1	0	0	1	2	2	1	0	0	2	1	0	0	0	0	0	1	0	1	0	5	2	1	1	0	2	0	0	0	0	0	0	0	1	1	1	1	1	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	8	3	1	3	0	0	0	0	0	1	0	0	4	0	3	4	0	0	1	0	1	0	2	4	0	0	1	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	5	1	2	6	0	0	0	0	1	6	1	1	0	0	2	0	3	1	3	0	0	1	1	6	0	0	0	0	0	0	3	0	5	0	0	0	0	1	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3	0	0	1	0	10	0	8	0	0	1	1	0	0	1	0	0	0	0	0	2	0	1	1	0	1	0	0	4	0	1	0	1	0	0	0	0	0	0	1	0	1	1	0	0	6	2	4	0	0	0	0	0	0	1	0	0	0	0	2	0	1	1	0	0	0	5	0	0	1	0	0	4	0	0	0	0	1	0	0	0	0	0	1	1	4	0	2	1	0	0	0	1	0	1	2	0	0	0	0	0	3	4	1	0	1	1	0	1	0	0	0	1	0	1	0	5	0	0	0	0	0	0	0	0	4	0	0	0	0	3	5	0	0	1	1	0	0	0	0	0	3	1	0	1	3	0	0	1	0	1	1	0	0	1	1	1	7	2	0	0	3	0	0	0	0	1	0	0	0	0	2	0	1	2	1	0	2	0	0	0	1	3	2	0	0	0	2	1	0	0	0	2	0	0	0	0	0	1	0	5	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	2	0	4	2	0	0	0	0	0	0	3	0	0	0	0	0	2	1	0	3	0	2	0	0	0	1	1	1	2	3	0	0	1	0	0	2	12	3	1	4	1	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	0	0	1	1	0	0	0	0	0	0	0	7	0	0	0	0	1	4	2	0	0	1	0	2	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	2	0	0	3	3	1	1	0	1	1	0	0	0	0	1	0	1	1	0	0
Joel on Software	4	1	2	1	3	4	25	0	14	1	36	1	0	3	6	0	18	5	0	2	8	1	3	22	12	4	3	6	4	45	1	3	2	20	5	11	0	4	5	2	0	7	9	5	6	2	10	6	3	1	0	3	0	7	2	0	11	11	7	2	0	5	6	11	10	1	0	0	2	2	0	2	0	1	0	3	4	4	2	2	0	10	2	1	2	4	6	15	0	3	0	3	0	4	1	2	6	9	4	8	1	4	2	3	0	1	1	3	4	2	17	4	2	45	15	0	3	0	11	26	1	10	6	12	1	0	16	0	0	8	1	5	1	8	1	4	2	5	2	2	7	6	2	4	3	0	2	44	4	2	4	0	1	2	22	0	5	9	30	75	4	0	0	25	1	4	0	1	0	2	4	9	15	1	3	0	1	2	2	0	1	3	0	0	2	11	8	12	7	1	1	0	1	1	2	0	2	3	7	4	0	1	10	0	1	3	2	5	3	15	8	2	16	8	3	3	9	0	2	18	0	2	6	0	3	9	2	12	1	1	8	1	2	0	1	0	0	4	1	1	2	1	2	10	1	4	1	7	9	6	5	1	1	1	1	0	13	0	2	0	0	4	9	0	0	1	7	2	15	3	2	2	0	0	6	0	2	2	1	1	0	0	0	6	12	0	3	21	0	2	10	4	3	1	2	2	6	5	1	12	1	2	3	1	1	3	1	2	22	7	4	5	5	3	0	0	9	0	21	1	2	2	2	0	0	2	3	8	0	0	5	7	6	7	2	0	3	1	22	1	2	0	8	11	6	10	3	13	2	1	1	0	32	3	2	0	0	9	14	9	4	3	21	4	0	0	0	0	1	0	5	4	6	12	0	1	3	3	0	6	5	0	5	6	1	2	2	1	8	13	11	2	7	2	2	3	0	3	3	2	8	14	8	3	5	5	0	1	1	2	1	10	0	10	0	0	1	0	6	3	7	7	5	1	4	4	2	1	24	0	0	12	1	1	12	1	2	8	6	5	0	10	11	4	6	9	2	9	2	0	6	1	1	1	4	0	3	10	2	0	0	1	12	0	9	0	6	0	1	1	0	2	9	0	0	0	1	4	1	2	0	1	19	9	7	0	3	5	3	1	1	2	1	5	2	5	23	8	2	0	0	6	2	10	2	1	3	17	7	4	2	1	10	0	0	1	1	16	1	0	0	6	2	3	8	13	1	2	0	0	1	3	9	9	3	0	32	1	23	32	19	0	3	18	1	1	15	3	12	19	2	9	8	4	0
Boing Boing	0	1	1	0	2	0	2	0	0	2	2	0	0	1	1	1	3	1	0	4	2	1	0	1	5	1	0	2	3	9	0	2	1	2	0	0	0	0	0	5	2	4	3	0	1	0	1	0	0	0	1	6	2	1	0	1	5	3	2	0	1	1	2	2	1	1	1	4	0	0	1	0	4	0	3	0	0	1	0	0	2	0	0	0	1	0	5	1	4	1	0	0	2	1	0	0	0	0	1	6	1	0	6	3	1	0	2	1	0	0	5	0	0	7	2	1	0	2	1	4	0	0	1	0	3	0	4	1	0	1	0	1	0	0	0	0	0	0	0	2	1	2	3	0	1	0	0	0	0	0	1	0	1	0	3	0	9	4	3	8	0	0	5	4	2	0	4	2	0	1	1	0	1	0	0	0	0	0	0	0	2	0	0	0	1	2	1	2	8	0	0	0	2	0	0	1	0	1	3	5	1	0	4	0	0	1	0	4	1	0	3	0	3	1	0	1	2	0	2	0	1	1	0	1	0	1	1	1	0	0	1	5	1	3	1	1	1	0	2	6	0	1	1	1	0	0	0	1	4	0	0	0	0	0	0	3	3	0	0	0	0	2	1	0	4	9	0	0	0	1	1	0	9	0	2	1	3	1	0	25	0	3	1	5	0	2	1	3	0	1	0	0	1	3	1	0	0	3	0	0	0	1	0	0	1	0	0	1	1	3	0	0	0	9	2	0	6	0	6	0	1	1	0	0	0	0	2	1	2	0	2	0	2	1	0	3	0	0	0	0	0	0	0	0	4	0	0	5	1	0	1	0	3	2	1	2	4	0	0	1	1	0	1	0	0	0	2	2	0	1	1	1	1	5	0	0	0	7	0	3	0	1	0	2	3	3	0	1	0	0	2	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	1	0	0	0	2	2	1	5	0	3	0	1	1	0	1	0	0	0	3	1	1	1	4	0	0	1	0	0	10	0	1	4	0	1	0	5	1	1	0	1	4	1	1	0	1	5	3	1	0	0	1	6	2	1	0	0	0	4	3	1	14	2	2	1	0	6	1	1	1	0	0	1	0	0	0	1	2	0	0	2	2	0	0	0	2	1	7	2	0	0	5	1	0	2	1	0	0	1	1	0	0	1	4	0	3	4	1	0	14	2	1	3	0	0	0	0	0	0	4	0	0	1	0	0	0	0	2	0	2	1	0	0	3	6	7	0	0	0	1	1	3	2	3	3	0	3	1	3	12
flagrantdisregard	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	3	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	1	0	0	3	0	1	5	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	5	0	0	1	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Search Engine Watch	0	1	0	0	1	0	2	0	1	0	3	0	0	0	0	0	2	1	1	0	5	0	0	3	0	0	0	0	1	3	0	1	0	5	0	2	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0	2	3	0	3	0	1	0	0	0	0	3	0	1	0	0	0	0	3	0	0	2	0	0	0	0	2	7	0	1	0	0	4	1	0	1	1	1	0	0	0	0	1	0	1	0	2	2	0	0	0	1	0	0	2	1	0	0	1	1	0	1	4	0	0	0	1	1	0	0	1	0	0	1	2	0	0	0	0	0	0	2	0	0	2	0	1	1	1	0	1	2	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	1	2	0	0	0	0	1	1	2	1	0	0	0	0	0	1	0	0	2	0	0	1	2	5	6	1	0	1	0	0	0	0	1	6	1	2	1	0	2	4	0	1	1	0	1	4	2	1	1	1	1	0	0	1	0	0	0	0	5	0	0	1	0	0	0	2	1	0	0	0	0	0	1	1	2	0	0	1	0	0	0	0	1	2	0	0	2	0	0	0	1	0	1	1	2	0	1	0	0	2	0	0	0	0	2	0	0	0	0	0	1	0	6	1	0	0	3	1	0	0	0	1	0	2	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	5	0	1	0	1	0	1	0	2	1	0	1	0	2	4	1	0	0	0	0	0	0	5	0	0	0	0	1	0	0	2	1	0	0	0	0	0	4	0	1	1	0	1	0	1	1	0	0	4	3	1	0	2	0	2	2	0	1	0	0	0	0	0	0	0	1	0	0	0	13	3	0	0	1	2	1	2	1	0	0	0	2	2	0	5	0	9	2	0	2	0	3	0	0	0	0	2	0	1	0	16	0	2	0	2	0	0	0	2	0	0	0	0	2	5	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	3	2	0	0	0	1	1	0	1	0	4	1	1	2	1	3	0	0	1	0	3	3	0	0	1	2	0	2	6	0	2	1	0	1	1	0	0	1	0	1	0	2	1	0	0	0	0	1	1	0	1	1	1	0	1	1	6	0	1	0	5	1	0	0	0	1	1	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	3	1	0	2	0	6	0	4	2	0	0	1	0	0	1	0	0	2	0	1	0	1	0	0
WIL WHEATON dot NET	0	3	0	0	4	0	15	3	0	2	12	8	0	2	1	2	18	11	1	5	16	12	4	18	20	2	2	13	3	32	0	7	3	38	3	1	1	10	7	0	0	5	11	1	1	0	2	1	2	0	3	10	0	8	2	0	19	6	2	1	0	1	15	7	4	0	4	7	0	2	0	3	0	5	5	2	0	4	1	0	0	2	0	2	1	4	2	22	0	0	0	0	3	14	7	2	1	0	11	5	1	2	11	5	0	0	7	11	0	4	14	1	2	29	4	4	0	0	1	6	2	7	10	1	2	1	13	0	2	3	11	7	2	3	7	0	5	9	0	2	44	10	7	0	8	0	3	0	16	0	4	2	7	1	19	1	12	7	20	15	0	0	10	37	4	0	0	0	8	0	11	2	17	0	4	0	2	1	2	0	2	0	0	2	6	1	14	10	1	3	2	5	2	1	3	5	1	1	8	3	0	2	2	0	7	2	5	7	3	0	0	3	18	0	0	1	13	0	3	0	3	3	4	3	3	4	2	0	0	0	8	1	3	1	1	0	0	8	2	0	2	0	7	5	3	1	0	4	10	0	0	2	15	1	1	2	15	0	0	0	0	6	2	0	1	8	7	2	9	12	0	2	6	0	3	5	1	2	7	10	1	4	2	0	0	0	0	19	0	5	2	5	2	0	9	1	0	2	1	10	2	6	0	0	10	1	1	1	24	87	0	2	2	5	0	0	5	0	11	1	1	2	0	0	2	0	0	11	2	0	11	0	6	2	0	0	11	2	1	1	0	3	17	12	7	17	2	15	2	0	6	1	29	4	6	1	0	6	4	5	3	5	1	2	0	0	0	2	1	0	1	0	0	8	3	3	0	4	0	24	6	1	7	4	6	14	4	5	1	4	4	0	4	1	1	2	8	1	2	1	0	15	7	0	0	13	3	4	6	0	4	10	0	25	2	0	2	0	1	4	9	2	2	0	0	8	3	0	12	0	0	11	1	1	77	8	6	17	10	2	0	12	2	4	9	1	1	9	1	1	18	7	0	1	1	0	1	34	2	2	0	1	13	0	3	6	4	0	0	3	0	0	8	1	0	0	0	2	1	0	0	0	3	1	4	0	1	1	1	37	4	3	11	3	2	2	18	2	1	0	1	0	0	0	0	0	1	0	1	28	8	1	10	5	5	1	6	1	2	2	0	0	0	0	2	0	1	5	1	0	0	0	9	22	2	3	9	1	10	16	23	1	1	2	1	3	10	0	14	49	0	5	5	12	0
Online Marketing Report	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	3	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	2	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0
